Location,Poverty Level,TimeFrame,DataFormat,Data
Colorado,Eligible for Reduced Price Lunch,2000,Percent,0.07
Colorado,Eligible for Free or Reduced Lunch,2000,Percent,0.27
Colorado,Eligible for Free Lunch,2000,Percent,0.2
Colorado,Eligible for Reduced Price Lunch,2000,Number,50698
Colorado,Eligible for Free Lunch,2000,Number,144451
Colorado,Eligible for Free or Reduced Lunch,2000,Number,195149
Colorado,Eligible for Reduced Price Lunch,2001,Number,51998
Colorado,Eligible for Free or Reduced Lunch,2001,Number,204299
Colorado,Eligible for Free Lunch,2001,Number,152301
Colorado,Eligible for Free Lunch,2001,Percent,0.20522
Colorado,Eligible for Free or Reduced Lunch,2001,Percent,0.27528
Colorado,Eligible for Reduced Price Lunch,2001,Percent,0.07006
Colorado,Eligible for Free Lunch,2002,Percent,0.2196
Colorado,Eligible for Free or Reduced Lunch,2002,Percent,0.28509
Colorado,Eligible for Reduced Price Lunch,2002,Percent,0.06549
Colorado,Eligible for Reduced Price Lunch,2002,Number,49242
Colorado,Eligible for Free or Reduced Lunch,2002,Number,214349
Colorado,Eligible for Free Lunch,2002,Number,165107
Colorado,Eligible for Reduced Price Lunch,2003,Number,47955
Colorado,Eligible for Free or Reduced Lunch,2003,Number,228710
Colorado,Eligible for Free Lunch,2003,Percent,0.24
Colorado,Eligible for Reduced Price Lunch,2003,Percent,0.06
Colorado,Eligible for Free or Reduced Lunch,2003,Percent,0.3
Colorado,Eligible for Free Lunch,2004,Percent,0.2525
Colorado,Eligible for Free or Reduced Lunch,2004,Percent,0.3152
Colorado,Eligible for Free Lunch,2003,Number,180755
Colorado,Eligible for Reduced Price Lunch,2004,Percent,0.0627
Colorado,Eligible for Free Lunch,2004,Number,193587
Colorado,Eligible for Free or Reduced Lunch,2004,Number,241619
Colorado,Eligible for Reduced Price Lunch,2004,Number,48032
Colorado,Eligible for Free or Reduced Lunch,2005,Number,259673
Colorado,Eligible for Free or Reduced Lunch,2005,Percent,0.3326
Colorado,Eligible for Free Lunch,2005,Percent,0.2702
Colorado,Eligible for Reduced Price Lunch,2005,Percent,0.0624
Colorado,Eligible for Free Lunch,2006,Percent,0.2711
Colorado,Eligible for Free or Reduced Lunch,2006,Percent,0.337
Colorado,Eligible for Free Lunch,2005,Number,210939
Colorado,Eligible for Reduced Price Lunch,2005,Number,48734
Colorado,Eligible for Reduced Price Lunch,2006,Percent,0.0659
Colorado,Eligible for Reduced Price Lunch,2006,Number,52323
Colorado,Eligible for Free or Reduced Lunch,2006,Number,267590
Colorado,Eligible for Free Lunch,2006,Number,215267
Colorado,Eligible for Free Lunch,2007,Number,220619
Colorado,Eligible for Free or Reduced Lunch,2007,Number,275560
Colorado,Eligible for Free Lunch,2007,Percent,0.27
Colorado,Eligible for Reduced Price Lunch,2007,Percent,0.07
Colorado,Eligible for Free or Reduced Lunch,2007,Percent,0.34
Colorado,Eligible for Free Lunch,2008,Percent,0.2825
Colorado,Eligible for Free or Reduced Lunch,2008,Percent,0.3536
Colorado,Eligible for Reduced Price Lunch,2008,Percent,0.0711
Colorado,Eligible for Free Lunch,2008,Number,231232
Colorado,Eligible for Free or Reduced Lunch,2008,Number,289404
Colorado,Eligible for Reduced Price Lunch,2008,Number,58172
Colorado,Eligible for Reduced Price Lunch,2013,Number,62848
Colorado,Eligible for Free or Reduced Lunch,2013,Number,367980
Colorado,Eligible for Free Lunch,2013,Number,305132
Colorado,Eligible for Free Lunch,2013,Percent,0.34793
Colorado,Eligible for Reduced Price Lunch,2013,Percent,0.07166
Colorado,Eligible for Free or Reduced Lunch,2013,Percent,0.41959
Colorado,Eligible for Free Lunch,2009,Percent,0.311
Colorado,Eligible for Free or Reduced Lunch,2009,Percent,0.3838
Colorado,Eligible for Reduced Price Lunch,2009,Percent,0.0727
Colorado,Eligible for Reduced Price Lunch,2009,Number,60529
Colorado,Eligible for Free or Reduced Lunch,2009,Number,319428
Colorado,Eligible for Reduced Price Lunch,2010,Number,57168
Colorado,Eligible for Free or Reduced Lunch,2010,Number,336443
Colorado,Eligible for Free Lunch,2010,Number,279275
Colorado,Eligible for Reduced Price Lunch,2007,Number,54941
Colorado,Eligible for Free Lunch,2009,Number,258899
Colorado,Eligible for Free Lunch,2010,Percent,0.331
Colorado,Eligible for Free or Reduced Lunch,2010,Percent,0.399
Colorado,Eligible for Reduced Price Lunch,2010,Percent,0.068
Colorado,Eligible for Free Lunch,2011,Percent,0.3378
Colorado,Eligible for Free or Reduced Lunch,2011,Percent,0.4085
Colorado,Eligible for Free or Reduced Lunch,2011,Number,348930
Colorado,Eligible for Free Lunch,2011,Number,288568
Colorado,Eligible for Free or Reduced Lunch,2012,Number,358899
Colorado,Eligible for Reduced Price Lunch,2012,Number,61732
Colorado,Eligible for Free Lunch,2012,Number,297167
Colorado,Eligible for Free or Reduced Lunch,2012,Percent,0.416
Colorado,Eligible for Free Lunch,2012,Percent,0.344
Colorado,Eligible for Reduced Price Lunch,2012,Percent,0.0715
Colorado,Eligible for Free Lunch,2014,Percent,0.34346
Colorado,Eligible for Free or Reduced Lunch,2014,Percent,0.41593
Colorado,Eligible for Reduced Price Lunch,2014,Percent,0.07246
Colorado,Eligible for Reduced Price Lunch,2014,Number,64418
Colorado,Eligible for Free or Reduced Lunch,2014,Number,369760
Colorado,Eligible for Reduced Price Lunch,2011,Percent,0.0707
Colorado,Eligible for Reduced Price Lunch,2011,Number,60362
Colorado,Eligible for Free Lunch,2014,Number,305342
ACADEMY 20,Eligible for Free Lunch,2014,Number,2156
ACADEMY 20,Eligible for Free or Reduced Lunch,2014,Number,3132
ACADEMY 20,Eligible for Free or Reduced Lunch,2014,Percent,0.12743
ACADEMY 20,Eligible for Reduced Price Lunch,2014,Number,976
ACADEMY 20,Eligible for Reduced Price Lunch,2014,Percent,0.03971
ACADEMY 20,Eligible for Free Lunch,2014,Percent,0.08772
ACADEMY 20,Eligible for Reduced Price Lunch,2012,Percent,0.03512
ACADEMY 20,Eligible for Free Lunch,2012,Percent,0.09027
ACADEMY 20,Eligible for Reduced Price Lunch,2012,Number,842
ACADEMY 20,Eligible for Free or Reduced Lunch,2012,Percent,0.12539
ACADEMY 20,Eligible for Free Lunch,2012,Number,2164
ACADEMY 20,Eligible for Free or Reduced Lunch,2012,Number,3006
ACADEMY 20,Eligible for Reduced Price Lunch,2011,Number,839
ACADEMY 20,Eligible for Free Lunch,2011,Number,1995
ACADEMY 20,Eligible for Reduced Price Lunch,2011,Percent,0.0355
ACADEMY 20,Eligible for Free or Reduced Lunch,2011,Number,2834
ACADEMY 20,Eligible for Free or Reduced Lunch,2011,Percent,0.1198
ACADEMY 20,Eligible for Free Lunch,2011,Percent,0.0843
ACADEMY 20,Eligible for Reduced Price Lunch,2010,Percent,0.034
ACADEMY 20,Eligible for Free or Reduced Lunch,2010,Percent,0.113
ACADEMY 20,Eligible for Free Lunch,2010,Percent,0.079
ACADEMY 20,Eligible for Free Lunch,2010,Number,1827
ACADEMY 20,Eligible for Free or Reduced Lunch,2010,Number,2601
ACADEMY 20,Eligible for Free Lunch,2009,Number,1599
ACADEMY 20,Eligible for Reduced Price Lunch,2010,Number,774
ACADEMY 20,Eligible for Free or Reduced Lunch,2009,Number,2338
ACADEMY 20,Eligible for Reduced Price Lunch,2009,Number,739
ACADEMY 20,Eligible for Reduced Price Lunch,2009,Percent,0.0327
ACADEMY 20,Eligible for Free or Reduced Lunch,2009,Percent,0.1034
ACADEMY 20,Eligible for Reduced Price Lunch,2013,Percent,0.03991
ACADEMY 20,Eligible for Free Lunch,2009,Percent,0.0707
ACADEMY 20,Eligible for Free or Reduced Lunch,2013,Percent,0.13173
ACADEMY 20,Eligible for Free Lunch,2013,Percent,0.09183
ACADEMY 20,Eligible for Free Lunch,2013,Number,2248
ACADEMY 20,Eligible for Free or Reduced Lunch,2013,Number,3225
ACADEMY 20,Eligible for Reduced Price Lunch,2013,Number,977
ACADEMY 20,Eligible for Reduced Price Lunch,2008,Number,715
ACADEMY 20,Eligible for Free or Reduced Lunch,2008,Number,2058
ACADEMY 20,Eligible for Free Lunch,2008,Number,1343
ACADEMY 20,Eligible for Reduced Price Lunch,2008,Percent,0.0326
ACADEMY 20,Eligible for Free or Reduced Lunch,2008,Percent,0.0939
ACADEMY 20,Eligible for Reduced Price Lunch,2007,Percent,0.03
ACADEMY 20,Eligible for Free Lunch,2008,Percent,0.0613
ACADEMY 20,Eligible for Free or Reduced Lunch,2007,Percent,0.08
ACADEMY 20,Eligible for Free Lunch,2007,Percent,0.05
ACADEMY 20,Eligible for Reduced Price Lunch,2007,Number,559
ACADEMY 20,Eligible for Free or Reduced Lunch,2007,Number,1630
ACADEMY 20,Eligible for Free Lunch,2007,Number,1071
ACADEMY 20,Eligible for Free Lunch,2006,Number,881
